81,80.92,80.2,81.97,81.87,
2.59,2.38,2.21,2.78,2.28,
630
57
115,115,115,111,111,
82,82,82,83.07,83.85,
2.3,2.08,1.91,2.83,2.23,
630
15
109.66,108.62,108,106.86,107.49,
84,84,83.47,87.07,84.65,
2.36,2.15,1.96,2.53,1.97,
630
40
104,104,104,103.22,103.04,
72,72,71.73,80.62,83.03,
2.5,2.3,2.14,2.58,2.27,
630
60
111,111,111,103,102,
82,82,81.27,83.44,77.07,
2.32,2.09,1.91,1.86,1.75,
630
74
108,108,108,102.54,102.07,
82,82,81,77,75.33,
2.41,2.22,2.06,2.55,2.19,
630
15
113,113,113,106.24,106,
86.55,85.4,84.93,83.99,85.12,
2.3,2.08,1.83,2.6,2.2,
630
10
102,101.55,101.2,98.78,98.05,
79,79,79,76.75,78,
2.28,2.12,1.98,2.75,2.57,
630
39
97.34,95.2,95,98.55,99.42,
79,79,79,77.87,78.17,
2.53,2.3,2.12,2.64,2.25,
630
15
106,106,106,98.03,99.14,
82,82,85.47,78.72,79,
2.44,2.21,1.94,2.38,1.95,
630
15
117,117,117,115.45,115.59,
86,86,85.73,88.76,89.96,
2.31,2.09,1.92,2.7,2.3,
630
10
93,94.9,96.22,109.57,110,
82,82,82,90.44,90.37,
2.17,2.08,1.99,2.75,2.35,
630
40
104,104.34,105.45,91.54,96.13,
82.89,82.96,83.47,82.83,80.2,
2.27,2.1,1.89,2.63,2.37,
630
15
108,108,108,100.8,99.62,
85.23,85.85,87.2,79,78.2,
2.22,2.04,1.86,2.71,2.3,
630
10
109,109,109.33,108.49,108.52,
82,82,82,82.78,82.64,
2.55,2.35,2.2,2.64,2.27,
630
10
109,109,109,103.96,104.07,
86,85.4,84.93,81.87,83.65,
2.49,2.35,2.16,2.37,2.03,
630
13
108,108,108,98.36,97,
84,83.78,83.73,80.77,79.22,
2.22,2.03,1.86,2.36,1.83,
630
15
98.88,96.94,95.05,92.89,90.28,
84,84,83.63,75.98,75.3,
2.4,2.23,2.11,2.36,1.93,
630
0
99.45,99,99,93.19,91.38,
80.45,80.26,80.47,79.15,79.22,
2.39,2.22,2.09,2.41,2.05,
630
0
102,102,102,103.4,103.08,
85.78,86.15,87.2,86.63,86.85,
2.38,2.25,2.1,2.64,2.12,
630
10
100,100,100.28,87.48,86.08,
82.89,83.65,81.7,77,77,
2.17,2.01,1.89,1.94,1.5,
630
0
91,91,91,91,87.93,
79,79,79,81,79.44,
2.19,2.08,1.97,2.04,1.47,
630
10
91,91,91,97,97,
79.23,79.93,78.67,81,81,
2.04,1.94,1.87,2.75,2.58,
630
25
86.9,88.7,88.24,95.48,95,
77,77,77,80.9,79,
1.89,1.81,1.72,2.57,2.15,
630
67
90,90,90,102,102,
81.56,82.96,83.47,86.27,87.8,
1.87,1.83,1.75,2.32,2.36,
630
15
86,86,86.28,95,96.04,
77.34,78.11,79,79,80.04,
1.8,1.72,1.66,2.42,2.2,
630
10
90,90,90,93,93.31,
77.12,78.93,81,81,81,
1.97,1.89,1.82,2.71,2.52,
630
10
99,99,99,96.53,96.32,
81.78,82.48,83.73,83.28,83.86,
2.45,2.26,2.14,2.11,1.96,
630
15
99,99,99,97,98.41,
83.78,83.92,84,81,81,
2.8,2.62,2.53,2.28,2.05,
630
0
95,95,95,93.73,93,
81,81,80.07,79,79,
2.38,2.31,2.21,2.2,1.86,
630
10
88,88,88.65,88.6,88.92,
73,73,73,79.82,80.98,
1.95,1.89,1.82,2.32,1.69,
630
60
90,90,90,94.02,93.96,
78.67,80.23,82,82.63,84.68,
2.33,2.23,2.21,2.63,2.27,
630
10
93,93,93,90.34,87.21,
80.89,81.41,82,80.96,80.88,
2.1,2.05,1.99,2.36,1.69,
630
20
90,90,90,93.51,93.92,
80.89,81.19,81.73,81,81,
2.22,2.17,2.1,2.43,2.06,
630
12
97,97,97,96.02,96.78,
80.34,81.24,82,82.6,84,
2.09,1.99,1.95,2.18,2.02,
630
30
97,97,97,94.02,94.26,
80.45,80.93,80.76,80.99,81.29,
2.23,2.13,2.09,2.32,1.83,
630
29
91,91,91,91,92.88,
80.34,81.11,82,80.23,81.78,
1.87,1.74,1.65,2.26,1.88,
630
45
90,90,90,94.27,93.96,
80.45,80.7,81,80.63,81,
2.13,2.1,2.06,2.44,2.26,
630
15
97,97,97,99,99,
81.45,81.93,82,82.82,83.85,
2.1,2.05,2,2.79,2.35,
630
10
95,95,95,95.02,94.93,
80.89,81.63,82.27,81,81,
2.45,2.38,2.33,2.44,2.25,
630
10
95,95,95,90.71,93.65,
77,77,76.73,79,78.74,
2.23,2.16,2.11,2.13,1.67,
630
285
91,91,91,94.52,96.76,
77,77,77,77,77,
1.83,1.75,1.7,2.51,2.3,
630
15
90,90,90,93.04,93,
80.34,81.11,82,80.9,81,
2.26,2.21,2.18,2.54,2.17,
630
13
91,91,91,93.6,93.92,
79.34,79.44,80.2,77.58,77.15,
2.41,2.33,2.29,2.67,2.38,
630
10
95,95,95,94.02,93.96,
81.45,81.7,82,77,77,
2.27,2.2,2.16,2.39,2.38,
630
35
97,97,97,91.19,91,
79.78,81.04,82,75,75,
2.14,2.1,2.05,2.6,2.12,
630
0
97,97,97.02,98.53,98.11,
79.89,80.63,81.27,80.55,81.26,
1.97,1.91,1.84,2.52,2.09,
630
0
97,97,97,96.01,95.39,
79.78,81.04,82,79.42,79,
2.29,2.23,2.18,2.59,2.21,
630
0
93,93,93,96.02,95.96,
80.89,81.41,82,81.66,82.69,
1.94,1.89,1.82,2.29,1.71,
630
0
95,95,95,93.32,93.38,
80.89,81.86,82,79,77.29,
2.16,2.08,2,2.31,2.08,
630
0
90.22,91.04,90.14,88.92,88.08,
79,79,79,73,73,
1.99,1.95,1.87,1.98,1.71,
630
15
97,97,97,95.1,95,
77.34,78.56,79,77.65,78.25,
2.11,2.07,2,2.33,1.99,
630
0
99,99,99,99,99,
77.34,78.56,79,77.45,77.69,
2.12,2.07,2.02,2.53,2.03,
630
15
99,99,99,97,97,
79.89,80.41,81,72.19,73.2,
2.06,2.02,1.95,2.41,2.26,
630
15
97,97,97,97.31,97,
74.23,76.41,77,71.3,71.98,
1.82,1.78,1.71,2.4,2.16,
630
14
97,97,97,99,99,
77.89,78.63,79,75.96,75.42,
2.16,2.12,2.08,2.19,2.07,
630
13
99,99,99,95.23,94.87,
78.45,79,79,72.02,72.78,
2.02,1.97,1.91,1.95,1.64,
630
0
97,97,97,97.23,96.15,
77,77.67,77.8,73.8,73.74,
2.15,2.1,2.05,2.23,1.83,
630
15
95,95,95,95.23,94.29,
79.34,79.44,80.2,73.82,73.15,
1.94,1.91,1.86,2.01,1.69,
630
40
99,99,99,98.47,97.12,
70,70.67,70.8,68.3,69.69,
1.89,1.85,1.78,1.88,1.74,
630
30
97,97,97,94.4,94.08,
68.34,70,70,66.91,68.07,
1.81,1.75,1.68,2.01,1.7,
630
5
97,97,97,97,97,
74.78,75.82,77,68,66.29,
1.84,1.8,1.73,1.81,1.6,
630
10
99,99,99,95.98,96.68,
66,66,66,66,66,
1.88,1.84,1.77,1.55,1.54,
630
10
95,95,95,91,91,
66,66,66,66,66,
1.85,1.82,1.74,1.43,1.27,
630
28
92.11,92.65,91.9,93,93,
64,64,64,64,64,
1.89,1.83,1.76,1.48,1.45,
630
15
91,91,91,90,90,
66,66,66,66.23,66.23,
1.5,1.44,1.33,1.39,1.34,
630
30
88,88,88,88,88,
63,63,62.6,63.55,64,
1.41,1.34,1.25,1.05,0.98,
630
0
88,88,88,86.06,86,
64.89,66,66,67.25,67.36,
1.54,1.46,1.37,1.1,1,
630
34
90,90,90,86,86,
64.89,65.86,66,63.59,63.42,
1.5,1.44,1.33,1.06,1.01,
630
15
88,88,88,86,86,
61,61,61,61.88,62.97,
1.49,1.41,1.31,0.45,0.38,
630
235
86,86,86,86,86,
61,61,61,58.32,58.8,
1.06,0.87,0.63,0.49,0.4,
630
395
88,88,88,82.07,82,
60.45,61,61,56.66,57,
1.25,1.16,1.03,0.45,0.42,
630
70
84.55,85.03,84.67,81.07,81,
55,55,55,60.86,61.05,
0.97,0.9,0.73,0.69,0.65,
630
25
84.55,84.81,84.63,78.4,77,
64,64,64,59,58.88,
1.47,1.41,1.3,1.12,1.09,
630
82
86,86,86,76.96,75.21,
63,63,62.92,59,58.75,
1.49,1.38,1.27,1.52,1.55,
630
30
76.66,77.15,76.5,75,75,
50,50,50,50,50,
1.31,1.22,1.14,1.58,1.58,
630
15
79,79,79,77,77.28,
48,48,48,48.89,50,
1.58,1.47,1.29,1.39,1.37,
630
15
82.11,81.76,81.01,79.22,80.98,
50,50,50,49.7,51.1,
1.57,1.51,1.33,1.17,1.11,
630
10
81.77,81.25,81,81,81,
50,50,50,50.02,51.2,
1.46,1.41,1.3,1.39,1.36,
630
0
81.55,80.94,80.41,79,79.7,
50,50,50,51.78,52.56,
1.41,1.38,1.25,1.24,1.19,
630
35
78.11,77.94,77.44,75,75,
48,48,48,50.23,50.33,
1.38,1.32,1.2,1.15,1.1,
630
15
79,79,79,75.4,73.06,
54.56,56.93,57,58.49,57.48,
1.39,1.32,1.17,0.79,0.78,
630
7
81,81,81,77.36,75.6,
59,59,59,56.64,57.67,
1.96,1.75,1.54,1.83,1.92,
630
10
82,82,82,81,81,
52,52,52,49.77,50.61,
1.71,1.5,1.24,1.44,1.39,
630
0
79.22,78.95,77.88,70.22,66.63,
55,55,55,59,58.82,
1.49,1.33,1.13,1,0.93,
630
111
74.66,73.8,73,71,71.99,
45,45,45,45,45,
1.63,1.55,1.46,1.49,1.51,
630
5
75.88,74.45,72.68,73,73.41,
46,46,46,48,48,
0.93,0.81,0.64,1.1,1.06,
630
75
77,77,77,75.07,75,
50,50,50,53.29,54,
1.15,1.04,0.94,0.53,0.53,
630
160
75.55,75.1,75,77,77,
46,46,46,46.18,47.41,
1.47,1.37,1.26,1.32,1.35,
630
45
74.66,72.64,72,73.18,73.11,
48,48,48,46.39,47.38,
0.98,0.85,0.65,0.92,0.91,
630
117
75.88,74.09,72.07,76.58,75.59,
48,48,48,47.55,49,
0.89,0.77,0.54,1.08,0.94,
630
100
67.44,64.9,64,72,72,
48,48,48,46,46,
0.67,0.59,0.47,0.61,0.57,
630
555
65.11,64.8,64.6,72.51,73.53,
57,56.54,56.87,52,52,
0.7,0.64,0.57,0.6,0.61,
634
530
65.11,64.8,64.6,72.51,73.53,
55,55,55,52,52,
0.68,0.65,0.6,0.52,0.54,
634
905
64,65.12,65.73,73.62,72.68,
52,52,52,52,51.48,
0.49,0.46,0.41,0.42,0.42,
634
955
70,70,70,76.02,75.96,
50,50,50,49.64,50.59,
0.53,0.46,0.39,0.73,0.74,
634
1075
72.32,71.74,67.75,75.83,75.08,
51.45,52,52,51.98,56.81,
0.73,0.61,0.42,1,0.84,
634
199
74.65,71.74,70,61,61.03,
54,54,53.73,48.34,54.93,
0.99,0.85,0.72,0.54,0.49,
634
367
70.89,69.59,67.48,68.07,68.26,
55,55,55,52.59,53.85,
0.96,0.85,0.69,0.72,0.72,
634
692
73,73,73,68.12,65.43,
54,54,54,49.96,49.94,
1.38,1.22,1.06,0.81,0.64,
634
365
70.55,70.56,70.42,64.31,63.48,
48,48,48,43.47,43,
1.98,1.92,1.84,1.4,1.32,
634
133
65.66,66.15,65.5,63.47,61.96,
39,39,39,40.02,39.96,
1.98,1.91,1.82,1.28,1.18,
634
105
64.55,64.88,64.65,64,64,
36,36,36,38.25,40.35,
2.02,1.82,1.58,1.06,0.89,
634
244
65.22,65.45,64.51,66.01,66.02,
36,36,36,41.98,41.87,
1.62,1.53,1.43,0.9,0.88,
634
215
70,70,70,66,66,
37,37,37,41,41,
1.16,1.08,0.94,0.73,0.73,
634
104
73,73,73,72.51,73.81,
41,41,41,44.62,47.63,
1.25,1.11,0.95,1.03,0.95,
634
35
78.88,77.79,77,68.02,64.44,
43,43,43,49.1,48.44,
1.21,1.15,0.98,0.91,0.9,
634
6
72.77,71.78,70.65,59.23,59,
48,48,48,41,41,
0.99,0.88,0.73,0.69,0.59,
634
393
70.22,69.52,68,66,66,
46,46,46,41,41,
0.76,0.61,0.43,0.61,0.61,
634
225
73,73,73,69.8,67.93,
43,43,43,43,43,
0.96,0.81,0.65,0.82,0.72,
634
235
73.55,73.07,73,69.12,67.93,
45,45,45,42.64,43,
1.62,1.52,1.44,0.89,0.76,
634
105
75.33,73.4,72,68.13,66.78,
43,43,43,41,41,
1.56,1.49,1.42,0.87,0.7,
634
196
78.66,77.07,77,74.89,74.42,
46,46,46,48,48,
1.27,1.21,1.05,0.82,0.69,
634
216
81.55,81,81,76.78,75.55,
52,52,52,48,48,
1.48,1.39,1.32,0.7,0.65,
634
78
82.11,81.51,81,78.33,77,
53.66,53.33,52.53,51.96,52,
1.32,1.25,1.07,0.82,0.66,
634
126
82,82,82,77.21,77,
48,48,48,57,56.66,
1.37,1.28,1.13,0.76,0.68,
634
41
81,81,81,70.12,64.88,
52,52,52,58.58,57,
1.25,1.19,1.02,0.73,0.62,
634
150
66.77,66.34,66.47,66.84,65.5,
55,55,55,54.39,54,
1.63,1.59,1.45,1.12,0.78,
634
148
71.11,71.35,70.86,67.2,64.96,
48,48,48,50,50,
1.3,1.18,1.04,0.71,0.54,
634
56
70.44,68.98,66.79,70,70,
52,52,52,52,52,
1.29,1.21,1.05,0.68,0.61,
634
315
74.22,73.03,72,71.24,70.96,
46,46,46,49.64,51.28,
0.97,0.87,0.71,0.66,0.61,
634
281
77.44,74.47,73,74.56,72.48,
46,46,46,50,50,
1.02,0.9,0.74,0.78,0.7,
634
265
77.22,76.18,75,71.38,70.96,
48,48,48,50,50,
1.06,0.95,0.8,1.08,0.76,
634
60
77.22,75.6,75,73.58,73,
48,48,48,49.07,49.49,
1.16,1.08,0.91,1.32,0.97,
634
60
77,77,77,75.78,75.96,
48,48,48,50.42,51.38,
1.19,1.14,0.98,1.36,0.98,
634
265
78.11,78.5,77.88,73.66,73,
48,48,48,55.79,55.7,
1.16,1.08,0.94,1.2,0.75,
634
110
83.77,83.74,82.33,74.45,73,
54,54,54,59.67,60.92,
1.3,1.24,1.09,1.27,0.93,
634
250
81.53,81.43,81,73.97,72.65,
59,59,59,55.31,55.43,
1.38,1.31,1.21,1.12,1.06,
634
15
76.11,77.01,76.51,70.82,70.92,
54,54,54,47.58,46,
1.94,1.84,1.77,1.84,1.62,
634
15
80.11,79.43,78.81,73.97,73,
48,48,48,46.82,48,
2.17,2.1,2.05,1.51,1.16,
634
15
80.66,80.39,79.55,72.02,71.04,
48,48,48,50.7,50,
1.85,1.81,1.75,1.62,1.16,
634
15
75,75,75,72.24,72,
50,50,50,47.07,47.85,
1.78,1.71,1.64,1.89,1.38,
634
10
75,75,75,73.9,73.92,
48,48,48,45.53,45.93,
1.59,1.52,1.44,1.9,1.49,
634
30
80.11,79.11,78.58,75,75,
50,50,50,48.56,49.71,
1.71,1.62,1.53,1.69,1.19,
634
15
80.66,79.91,79.22,75.82,74.88,
55,55,55,50,50,
1.72,1.62,1.55,1.59,1.27,
634
0
80.66,79.82,79.02,77.59,79.16,
52,52,52,48,48,
1.74,1.63,1.55,1.53,1.16,
634
0
79.55,79.88,79.65,79.78,79.96,
50,50,48,48.78,51.56,
1.7,1.66,1.57,1.8,1.49,
634
75
81.22,81.21,80.29,81.45,79.36,
53.66,54,53.33,52.65,53.85,
1.65,1.6,1.5,1.96,1.22,
634
0
84,84,84,81.87,80.67,
55,55,55,55.65,56.85,
1.28,1.22,1.11,2.02,1.39,
634
10
85.66,85.24,84.45,84.82,84.62,
57,57,57,54.25,56.63,
1.17,1.11,0.98,1.95,1.24,
634
110
87.45,87.35,87.39,87.83,87,
59,59,59,56.9,60.48,
1.17,1.11,0.98,2.23,1.81,
634
625
91.11,91,91,89.17,89.92,
59,59,59,60.76,64.46,
1.89,1.84,1.76,2.06,1.65,
634
95
90,90,90,79.49,77.16,
63,63,63,61.03,60.93,
1.75,1.65,1.53,2.24,1.54,
634
180
84,84,84,80.67,80.33,
59,59,59,51.69,55.81,
1.95,1.85,1.75,2.4,1.72,
634
170
81.77,81.26,81,78.33,77.08,
54,54,54,49.43,53.41,
1.67,1.62,1.53,2.52,1.99,
634
50
80.66,80.08,79.43,77.84,76.15,
48,48,48,46.82,47.85,
1.84,1.77,1.7,2.65,2.08,
634
195
82.55,82.86,82.55,82.83,80.92,
50,50,50,49.72,51.71,
1.83,1.78,1.7,2.65,1.96,
634
235
85.33,84.88,83.32,81.11,81,
52,52,52,51.07,51.85,
2.03,1.96,1.88,2.54,1.87,
634
85
85.11,84.84,84.24,83.33,83,
52,52,52,48.46,51.56,
2.19,2.09,1.99,2.65,1.99,
634
10
89.66,89.39,88.47,90.4,90.5,
54,54,54,56.48,57,
2.4,2.3,2.23,2.6,1.75,
634
75
92.22,92.59,91.34,86.99,86,
57,57,57,62.76,66.23,
1.99,1.88,1.77,2.46,1.77,
634
0
88.55,88.38,88.02,82.13,81.52,
63,63,63,64.4,62.83,
2.08,1.98,1.87,2.48,1.58,
634
0
90,90,90,82.52,81.12,
59,59,59,60.84,58.34,
2,1.95,1.89,2.7,2.26,
634
15
86,86,86,80.61,79.79,
64,63.37,62.73,54.63,54,
2.08,2.04,1.99,2.65,2.02,
634
0
84.55,84.62,84.24,82.11,81.48,
55,55,55,51.61,51.71,
2.19,2.1,2.01,2.57,1.8,
634
80
84.55,85.2,84.87,83.33,82.08,
52,52,52,49.72,51.71,
2.15,2.1,2.05,2.71,1.97,
634
10
88,88.62,88.27,86.83,86.08,
54,54,54,54.05,56.46,
2.11,2.05,1.99,2.35,1.76,
634
15
88.22,88.83,87.56,81.53,79.2,
57,57,57,64.02,65.85,
1.74,1.7,1.62,2.67,2.32,
634
50
90.55,90,90,81.51,81.48,
64,65.12,65.33,61.95,59.37,
1.81,1.72,1.6,2.2,1.8,
634
35
73.29,72.07,72,73.12,75.96,
59,59,59,58.49,58.85,
1.61,1.56,1.46,2.36,2.25,
634
7
82.11,81.75,81.04,72.41,72.5,
57,57,56.73,54,54,
1.83,1.77,1.71,2.65,2.41,
634
15
79.77,79.25,77.89,73.98,72.58,
50,50,50,52.49,53.47,
2.12,2.08,2.01,2.53,2.15,
634
10
81.22,80.95,79.88,75.8,74,
50,50,50,50,50,
2.36,2.22,2.1,2.43,2.26,
634
0
81,81.48,81,78.2,78.92,
50,50,50,51.64,51.65,
2.25,2.16,2.08,2.52,2.24,
634
7
85.11,85.5,84.88,83.18,82.15,
54,54,54,54,53.66,
2.38,2.23,2.11,2.28,2.01,
634
70
90.55,90.77,90.26,87.18,85.16,
54,54,54,58.17,58.23,
2.62,2.43,2.3,2.17,1.78,
634
35
91.11,90.67,90.03,82.79,81.12,
59,59,59,58.54,55.44,
2.2,2.02,1.89,2.22,1.77,
634
15
89.66,89.98,89.1,85.43,85,
59,59,58.33,59,58.33,
2.35,2.19,2.02,2.4,1.78,
634
15
88,88,88,84.72,84.92,
63,63,63,64.51,61.93,
2.05,2.01,1.95,2.6,2.03,
634
75
91,91,91,87.4,87.08,
61,61,61,62.28,61,
2.26,2.19,2.15,2.43,1.79,
634
4
93,93,93,92.33,91.5,
61,61,61,59.27,62.63,
2.35,2.14,1.99,2.56,1.8,
634
0
99,99,99,96.71,96.04,
62.66,63,62.33,64.65,65.85,
2.29,2.1,1.96,2.82,2.01,
634
30
97,97,97,99.47,99,
68,68,68,66.27,67.91,
2,1.79,1.61,2.57,2.04,
634
14
101.11,100.41,100,96,94.15,
70,70,70,70.55,70.98,
2.24,2.01,1.83,2.49,1.94,
634
0
99,99,99,94.47,92.23,
68,68,68,64.59,63.48,
2.37,2.14,1.96,2.57,2.22,
634
65
100,100,100,96.05,95.08,
68,68,68,66.42,66,
2.48,2.24,2.04,2.61,2.12,
634
10
99.55,99,99,99.02,98.04,
68,68,68,66,66,
2.54,2.29,2.12,2.74,2.18,
634
0
102.55,102,102,100.83,100.08,
72,72,71.6,70.35,71.71,
2.4,2.2,2.03,2.64,1.93,
634
280
106,106,106,103.83,101.23,
72,72,72,72.25,73.81,
2.28,2.06,1.88,2.89,2.21,
634
15
108,108,108,102.02,100.16,
72,71.85,70.8,72.32,72.93,
2.47,2.26,2.09,3.01,2.31,
634
10
108,108,108,104.71,102.29,
73,73,72.8,72.41,72.93,
2.48,2.24,2.09,2.81,2.19,
634
0
108,108,108,103.71,102.54,
72,72,72,71.62,72.93,
2.78,2.54,2.38,2.66,2.04,
634
8
108,108,108,101.33,100.08,
73,73,73,74.07,73.98,
2.63,2.42,2.27,2.94,2.53,
634
0
108,108,108,103.4,103.08,
70,70,70,70.67,71.86,
2.65,2.44,2.3,2.87,2.35,
634
0
108,108,108,98.64,97.07,
73,73,72.27,74.43,74.82,
2.64,2.46,2.3,2.85,2.47,
634
14
101.99,100.86,98.36,95.89,93.28,
77,76.55,76.47,74.35,73.15,
2.67,2.49,2.32,2.59,2.22,
634
10
106,106,106,95.18,94.08,
77.55,77.52,77.27,75,73.85,
2.31,2.1,1.93,1.75,1.39,
634
10
100.55,100.27,100,94.54,92.08,
73,73,72.47,66.54,64.05,
2.24,2.04,1.87,2.42,2.08,
634
7
99,99,99,91.97,91,
68,68,68,66.55,68.83,
2.35,2.14,1.98,2.97,2.63,
634
12
95.55,95.79,95.45,94.33,93.08,
64,64,63.53,66.89,68,
2.21,2.01,1.83,2.71,2.31,
634
15
100,100,100,99.75,99.54,
66,65.67,64.07,66.42,64.44,
2.21,2,1.8,2.86,2.4,
634
55
104,104,104,102.79,102,
66,66,65.33,70.52,68.91,
2.45,2.23,2.05,2.77,2.27,
634
5
104.55,104.43,104,104.8,105,
66,66,66,70.69,70.44,
